Regions,City,Latitude,Longitude,Murder,Rape,Kidnapping,Robbery,Holding hostage,Riot,Arson,Assault,Covid
Sector 17D ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 17E ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 18 ,Chandigarh,,,0,0,0,0,0,0,0,0,0
sector 18A ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 18B ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 18C ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 19 ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 19A ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 19B ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 19C ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 19D ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 20 ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 20A ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 20C ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 20D ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 21 ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 21A ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 21B ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 21C ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 21D ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 22 ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 22A ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 22B ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 22C ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 22D ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 23 ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 23C ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 23D ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 24C ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 24D ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 26 ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 27 ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 27A ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 27C ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 27D ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 28 ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 28 C ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 28 D ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 28A ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 29 ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 29D ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 30 ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 31 ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 31D ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 32 ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 32A ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 32C ,Chandigarh,,,0,0,0,0,0,0,0,0,0
Sector 32D ,Chandigarh,,,0,0,0,0,0,0,0,0,0
